elapsed_ms,current_A,event
5639.3,,Service request: command=3
5639.8,,Gripper moving to idle position...
8510.5,,Idle done. Phase took 2886 ms
8512.4,,Publishing response. Total elapsed: 2887 ms
10956.5,,Service request: command=1
10958.0,,Gripper latching...
12834.8,,Contact in latch zone at pos 26160 — latched
12835.3,,Latched
12835.4,,Latched! Phase took 1852 ms
12835.5,,Publishing response. Total elapsed: 1853 ms
13639.4,,Service request: command=3
13639.6,,Gripper moving to idle position...
15516.8,,Idle done. Phase took 1959 ms
15517.1,,Publishing response. Total elapsed: 1960 ms
17056.8,,Service request: command=2
17057.3,,Gripper releasing...
19951.4,,Home done. Phase took 2886 ms
19951.7,,Publishing response. Total elapsed: 2887 ms
20983.7,,Service request: command=3
20984.1,,Gripper moving to idle position...
23740.4,,Idle done. Phase took 2881 ms
23742.0,,Publishing response. Total elapsed: 2882 ms
24430.1,,Service request: command=1
24430.6,,Gripper latching...
26296.4,,Contact in latch zone at pos 26162 — latched
26296.8,,Latched
26296.9,,Latched! Phase took 1853 ms
26296.9,,Publishing response. Total elapsed: 1854 ms
29103.8,,Service request: command=3
29104.1,,Gripper moving to idle position...
31066.3,,Idle done. Phase took 1959 ms
31066.6,,Publishing response. Total elapsed: 1960 ms
31991.0,,Service request: command=2
31992.9,,Gripper releasing...
34879.6,,Home done. Phase took 2887 ms
34880.4,,Publishing response. Total elapsed: 2887 ms
35666.5,,Service request: command=3
35668.0,,Gripper moving to idle position...
38545.2,,Idle done. Phase took 2879 ms
38547.0,,Publishing response. Total elapsed: 2880 ms
39552.4,,Service request: command=1
39552.5,,Gripper latching...
41365.9,,Contact in latch zone at pos 26160 — latched
41375.6,,Latched
41378.1,,Latched! Phase took 1853 ms
41378.3,,Publishing response. Total elapsed: 1854 ms
44134.5,,Service request: command=3
44135.3,,Gripper moving to idle position...
46160.6,,Idle done. Phase took 1959 ms
46165.3,,Publishing response. Total elapsed: 1960 ms
46952.1,,Service request: command=2
46952.6,,Gripper releasing...
49745.2,,Home done. Phase took 2879 ms
49747.2,,Publishing response. Total elapsed: 2880 ms
