elapsed_ms,current_A,event
8829.4,,Service request: command=3
8830.1,,Gripper moving to idle position...
8841.0,0.1046,
8942.1,0.1765,
9042.7,0.2980,
9144.6,0.1417,
9309.7,0.1059,
9360.6,0.1010,
9449.0,0.0914,
9549.8,0.1007,
9651.1,0.0894,
9751.8,0.0987,
9852.4,0.0888,
9955.5,0.0917,
10057.7,0.0941,
10160.3,0.0922,
10263.4,0.0942,
10358.1,0.0886,
10459.0,0.0893,
10570.7,0.0912,
10673.5,0.0871,
10776.1,0.0872,
10863.8,0.0889,
10982.0,0.0857,
11085.4,0.0851,
11187.9,0.0861,
11290.9,0.0877,
11411.1,0.0967,
11470.3,0.1503,
11600.2,0.3443,
11702.8,0.3534,
11729.7,,Idle done. Phase took 2901 ms
11730.9,,Publishing response. Total elapsed: 2902 ms
13743.6,,Service request: command=2
13744.5,,Gripper releasing...
13753.9,0.3571,
13859.2,0.1490,
13961.5,0.2839,
14064.7,0.1330,
14167.7,0.0883,
14270.4,0.0855,
14373.7,0.0871,
14953.6,0.0845,
14954.0,0.0879,
14954.0,0.0929,
14954.0,0.0882,
15005.6,0.0932,
15071.2,0.0901,
15171.9,0.0918,
15299.2,0.0896,
15402.9,0.0901,
15504.4,0.0921,
15607.1,0.0871,
15684.9,0.0941,
15812.6,0.0978,
15882.6,0.0945,
16018.7,0.0990,
16083.6,0.0918,
16182.4,0.1020,
16287.5,0.1051,
16429.7,0.1559,
16532.5,0.3531,
16736.6,,Home done. Phase took 2901 ms
16736.8,,Publishing response. Total elapsed: 2902 ms
18386.1,,Service request: command=3
18386.4,,Gripper moving to idle position...
18395.7,0.3638,
18505.6,0.1782,
18608.1,0.2843,
18745.6,0.1348,
18895.6,0.1103,
18909.4,0.0925,
19010.9,0.0946,
19112.3,0.0974,
19212.4,0.0910,
19314.6,0.1006,
19415.8,0.0924,
19526.3,0.0906,
19617.9,0.0928,
19795.1,0.0885,
19847.3,0.0918,
19923.3,0.0902,
20026.6,0.0892,
20130.7,0.0889,
20232.0,0.0855,
20334.3,0.0914,
20434.2,0.0907,
20539.6,0.0881,
20642.9,0.0884,
20843.7,0.0885,
20843.8,0.0889,
20939.6,0.0905,
21054.2,0.1722,
21157.3,0.3545,
21261.3,0.3553,
21292.1,,Idle done. Phase took 2907 ms
21294.0,,Publishing response. Total elapsed: 2908 ms
23213.0,,Service request: command=2
23213.2,,Gripper releasing...
23213.2,0.2946,
23314.6,0.1444,
23417.8,0.2873,
23520.1,0.1342,
23622.9,0.0896,
23668.0,0.0873,
23830.1,0.0880,
23989.3,0.0896,
23989.6,0.0873,
24072.2,0.0928,
24239.8,0.0910,
24343.1,0.0911,
24445.6,0.0924,
24476.8,0.0901,
24651.0,0.0904,
24754.2,0.0927,
24779.8,0.0924,
25038.1,0.1058,
25038.4,0.0917,
25083.8,0.0973,
25266.5,0.0956,
25394.7,0.0911,
25473.9,0.1029,
25487.7,0.0957,
25589.1,0.1061,
25781.3,0.1094,
25790.5,0.1602,
25892.6,0.3591,
26088.1,0.3687,
26088.6,,Home done. Phase took 2899 ms
26088.7,,Publishing response. Total elapsed: 2900 ms
28042.3,,Service request: command=3
28042.8,,Gripper moving to idle position...
28042.8,0.3475,
28184.3,0.1829,
28184.7,0.3006,
28278.4,0.1486,
28380.0,0.1112,
28481.4,0.0967,
28582.9,0.0960,
28683.3,0.0999,
28783.1,0.0913,
28884.9,0.0984,
28986.1,0.0928,
29232.8,0.0959,
29233.2,0.0945,
29289.9,0.0919,
29391.5,0.0988,
29494.0,0.0887,
29594.1,0.0885,
29700.8,0.0921,
29797.3,0.0895,
29900.6,0.0899,
30013.1,0.0878,
30105.9,0.0890,
30280.0,0.0910,
30300.7,0.0890,
30412.6,0.0895,
30515.3,0.0977,
30621.6,0.1536,
30733.4,0.3467,
30816.6,0.3515,
30862.6,,Idle done. Phase took 2900 ms
30863.3,,Publishing response. Total elapsed: 2901 ms
32909.4,,Service request: command=2
32910.6,,Gripper releasing...
32920.1,0.3703,
33021.0,0.1392,
33122.1,0.2835,
33223.8,0.1368,
33324.6,0.0900,
33426.6,0.0879,
33526.8,0.0883,
33628.2,0.0930,
33728.8,0.0917,
33829.9,0.0909,
34004.3,0.0908,
34033.8,0.0874,
34136.1,0.0913,
34237.4,0.0892,
34337.7,0.0943,
34474.6,0.0914,
34538.7,0.0949,
34640.2,0.0963,
34741.1,0.0904,
34843.3,0.0946,
34942.6,0.0974,
35045.3,0.0931,
35145.7,0.1027,
35247.3,0.0934,
35347.9,0.0995,
35525.0,0.1028,
35557.2,0.1669,
35659.0,0.3559,
35760.3,0.3590,
35817.1,,Home done. Phase took 2908 ms
35818.1,,Publishing response. Total elapsed: 2909 ms
38323.2,,Service request: command=3
38324.5,,Gripper moving to idle position...
38333.9,0.2807,
38437.0,0.1737,
38538.0,0.3037,
38669.1,0.1355,
38747.6,0.1126,
38850.5,0.0973,
38950.0,0.0936,
39051.1,0.0984,
39151.9,0.0916,
39253.0,0.0971,
39353.7,0.0905,
39454.7,0.0939,
39556.1,0.0996,
39717.6,0.0860,
39759.1,0.0914,
39862.8,0.0895,
39965.6,0.0904,
40069.3,0.0935,
40170.7,0.0909,
40273.5,0.0896,
40365.7,0.0890,
40478.9,0.0893,
40582.7,0.0924,
40766.7,0.0969,
40769.5,0.0924,
40888.6,0.0884,
40993.4,0.1666,
41096.0,0.3549,
41198.8,0.3577,
41222.0,,Idle done. Phase took 2899 ms
41223.4,,Publishing response. Total elapsed: 2900 ms
42766.7,,Service request: command=2
42766.9,,Gripper releasing...
42767.0,0.3610,
42864.4,0.1483,
42952.6,0.2835,
43054.4,0.1334,
43156.3,0.0923,
43257.9,0.0885,
43358.7,0.0924,
43459.6,0.0919,
43562.7,0.0888,
43665.3,0.0911,
43771.6,0.0893,
43915.7,0.0904,
43964.1,0.0920,
44076.7,0.0936,
44187.4,0.0976,
44292.1,0.0943,
44384.7,0.0916,
44487.3,0.0967,
44571.7,0.0912,
44693.1,0.0983,
44795.5,0.0965,
44959.9,0.0949,
44975.2,0.1033,
45075.2,0.0951,
45207.1,0.1055,
45309.7,0.1085,
45413.4,0.1580,
45516.1,0.3506,
