elapsed_ms,current_A,event
4391.4,,Service request: command=3
4391.8,,Gripper moving to idle position...
4401.8,0.4645,
4504.0,0.3269,
4604.6,0.3153,
4747.5,0.3053,
4809.5,0.3059,
4953.3,0.3026,
5012.6,0.3099,
5158.4,0.3060,
5210.8,0.3112,
5312.0,0.3145,
5414.1,0.3208,
5514.9,0.3218,
5672.5,0.3250,
5716.9,0.3328,
5877.8,0.3395,
5996.2,0.3337,
6081.4,0.3367,
6121.4,0.3418,
6222.6,0.3239,
6323.4,0.2887,
6425.8,0.2625,
6596.7,0.2652,
6625.6,0.2660,
6802.0,0.2636,
6828.1,0.2621,
7046.3,0.2611,
7046.6,0.2640,
7213.8,0.2620,
7233.0,0.2605,
7334.4,0.2578,
7435.3,0.2610,
7536.4,0.2597,
7639.5,0.2583,
7738.6,0.2537,
7839.8,0.2604,
7941.2,0.2603,
8095.5,0.2596,
8144.0,0.2609,
8245.3,0.2624,
8346.1,0.2598,
8447.3,0.2621,
8547.4,0.2882,
8652.1,0.3224,
8750.5,0.3439,
8852.6,0.3414,
8961.0,0.3364,
9143.8,0.3343,
9158.1,0.3320,
9256.0,0.3243,
9372.6,0.3238,
9474.3,0.3208,
9576.4,0.3218,
9685.2,0.3137,
9761.0,0.3179,
9885.4,0.3154,
9988.1,0.3117,
10094.5,0.3098,
10193.9,0.3077,
10266.5,0.3183,
10399.3,0.3223,
10504.2,,Idle done. Phase took 6061 ms
10504.6,,Publishing response. Total elapsed: 6061 ms
11347.0,,Service request: command=1
11348.0,,Gripper latching...
11357.2,0.2554,
11529.8,0.3228,
11559.9,0.3166,
11736.1,0.3040,
11761.7,0.3043,
11862.3,0.2999,
12043.4,0.3041,
12065.0,0.3053,
12287.8,0.3109,
12288.1,0.3087,
12370.2,0.3159,
12471.6,0.3180,
12660.5,0.3168,
12672.8,0.3250,
12773.6,0.3250,
12883.0,0.3319,
12985.4,0.3423,
13184.5,0.3374,
13188.1,0.3184,
13337.1,0.2963,
13389.3,0.2651,
13584.0,0.2623,
13592.5,0.2641,
13790.9,0.2636,
13793.9,0.2632,
13894.8,0.2608,
13996.7,0.2620,
14096.6,0.2652,
14196.5,0.2588,
14385.5,0.2618,
14406.6,0.2604,
14534.5,0.2634,
14634.4,0.2632,
14710.9,0.2588,
14810.6,0.2712,
14920.3,0.2936,
15025.1,0.3225,
15130.8,,Contact in latch zone at pos 26699 — latched
15131.3,,Latched
15131.4,,Latched! Phase took 3733 ms
15131.4,,Publishing response. Total elapsed: 3734 ms
16061.0,,Service request: command=3
16061.1,,Gripper moving to idle position...
16070.7,0.7423,
16257.2,0.3786,
16282.3,0.3463,
16384.0,0.3226,
16493.3,0.3114,
16593.8,0.3222,
16696.0,0.3130,
16797.5,0.3256,
16899.5,0.3235,
17001.6,0.3265,
17100.8,0.3289,
17201.6,0.3264,
17386.6,0.3318,
17403.9,0.3339,
17532.4,0.3392,
17605.5,0.3401,
17706.5,0.3457,
17812.7,0.3503,
17911.1,0.3150,
18011.2,0.2866,
18112.9,0.2652,
18219.4,0.2652,
18414.4,0.2672,
18414.7,0.2658,
18580.1,0.2647,
18617.1,0.2649,
18731.1,0.2654,
18835.0,0.3000,
18936.6,0.3130,
19022.2,0.3475,
19139.9,0.3468,
19242.3,0.3421,
19344.6,0.3377,
19425.4,0.3329,
19628.3,0.3327,
19628.5,0.3271,
19755.3,0.3241,
19829.9,0.3237,
19933.1,0.3208,
20033.0,0.3151,
20134.5,0.3172,
20235.0,0.3138,
20335.9,0.3126,
20439.3,0.3295,
20538.2,0.3242,
20675.7,0.3499,
20779.1,0.3488,
20779.4,,Idle done. Phase took 4699 ms
20779.5,,Publishing response. Total elapsed: 4699 ms
21957.5,,Service request: command=2
21957.9,,Gripper releasing...
21968.2,0.3532,
22070.3,0.3833,
22217.4,0.3854,
22273.0,0.3741,
22376.6,0.3387,
22475.1,0.3115,
22584.3,0.3136,
22777.6,0.3179,
22787.9,0.3226,
22887.5,0.3178,
22989.4,0.3241,
23091.9,0.3272,
23191.2,0.3333,
23346.8,0.3369,
23393.5,0.3403,
23496.5,0.3421,
23596.2,0.3422,
23699.8,0.3512,
23825.7,0.3228,
23899.0,0.2896,
24000.6,0.2699,
24103.6,0.2681,
24203.3,0.2686,
24304.0,0.2667,
24405.8,0.2682,
24507.2,0.2668,
24608.5,0.2684,
24708.9,0.2656,
24889.1,0.2687,
24911.9,0.2699,
25014.5,0.2691,
25114.2,0.2695,
25215.3,0.2707,
25316.3,0.2708,
25417.1,0.2723,
25518.7,0.2701,
25621.2,0.2662,
25720.1,0.2700,
25823.7,0.2749,
25924.1,0.2708,
26023.7,0.2708,
26125.7,0.3035,
26226.2,0.3359,
26431.0,0.3529,
26431.4,0.3437,
26533.2,0.3447,
26635.8,0.3451,
26739.4,0.3435,
26841.1,0.3365,
26971.8,0.3288,
27046.4,0.3257,
27150.1,0.3257,
27237.8,0.3224,
27354.9,0.3154,
27439.1,0.3204,
27560.3,0.3191,
27663.2,0.3199,
27766.0,0.3198,
27869.0,0.3204,
28021.0,0.3447,
28021.5,,Home done. Phase took 6063 ms
28021.8,,Publishing response. Total elapsed: 6064 ms
28759.5,,Service request: command=3
28760.7,,Gripper moving to idle position...
28770.2,0.2818,
28896.9,0.3633,
28972.9,0.3741,
29074.2,0.3495,
29174.8,0.3256,
29313.0,0.3135,
29376.4,0.3195,
29478.9,0.3191,
29580.6,0.3189,
29680.1,0.3203,
29823.0,0.3275,
29884.4,0.3350,
30027.4,0.3414,
30118.1,0.3499,
30233.0,0.3448,
30291.2,0.3470,
30392.6,0.3453,
30493.2,0.3544,
30593.6,0.3332,
30695.2,0.2953,
30795.6,0.2700,
30951.5,0.2677,
31000.0,0.2725,
31165.5,0.2687,
31200.5,0.2678,
31362.6,0.2660,
31402.2,0.2740,
31502.9,0.2729,
31604.5,0.2710,
31705.6,0.2725,
31805.9,0.2670,
31908.4,0.2687,
32008.0,0.2689,
32110.3,0.2684,
32225.5,0.2705,
32311.8,0.2693,
32415.5,0.2678,
32514.3,0.2721,
32614.8,0.2715,
32715.2,0.2699,
32817.1,0.2698,
32918.4,0.2946,
33019.4,0.3295,
33119.9,0.3514,
33263.9,0.3445,
33323.8,0.3419,
33424.6,0.3384,
33525.2,0.3376,
33626.4,0.3319,
33726.9,0.3284,
33830.5,0.3273,
33929.4,0.3267,
34035.1,0.3218,
34137.8,0.3225,
34311.5,0.3214,
34333.5,0.3150,
34436.1,0.3146,
34548.9,0.3156,
34646.5,0.3322,
34756.8,0.3611,
34858.3,,Idle done. Phase took 6063 ms
34858.6,,Publishing response. Total elapsed: 6063 ms
35535.5,,Service request: command=1
35535.9,,Gripper latching...
35545.0,0.2862,
35678.9,0.3684,
35782.1,0.3728,
35857.2,0.3584,
35987.4,0.3205,
36061.8,0.3138,
36162.2,0.3176,
36295.4,0.3179,
36410.0,0.3196,
36463.0,0.3204,
36564.1,0.3243,
36707.1,0.3293,
36767.0,0.3338,
36913.5,0.3392,
36969.0,0.3391,
37118.3,0.3418,
37170.9,0.3484,
37271.6,0.3499,
37457.4,0.3263,
37473.9,0.2921,
37574.1,0.2716,
37675.9,0.2725,
37836.5,0.2736,
37878.6,0.2712,
38042.5,0.2698,
38087.4,0.2702,
38248.2,0.2705,
38283.8,0.2782,
38506.3,0.2718,
38506.6,0.2671,
38586.9,0.2685,
38761.7,0.2741,
38865.2,0.2723,
38968.2,0.2801,
38993.2,0.2754,
39173.0,0.2956,
39277.4,0.3236,
39277.9,,Contact in latch zone at pos 26706 — latched
39278.2,,Latched
39278.2,,Latched! Phase took 3735 ms
39278.3,,Publishing response. Total elapsed: 3736 ms
39996.9,,Service request: command=3
39997.3,,Gripper moving to idle position...
39997.4,0.6823,
40098.0,0.3494,
40200.2,0.3682,
40270.1,0.3597,
40405.8,0.3296,
40471.4,0.3206,
40611.9,0.3231,
40672.5,0.3210,
40774.4,0.3235,
40919.5,0.3240,
40975.9,0.3247,
41076.7,0.3259,
41178.2,0.3302,
41331.3,0.3358,
41380.0,0.3392,
41537.0,0.3449,
41654.0,0.3486,
41742.0,0.3476,
41785.4,0.3278,
41886.9,0.2964,
41987.4,0.2706,
42089.1,0.2698,
42256.2,0.2677,
42290.7,0.2746,
42462.0,0.2697,
42564.9,0.2691,
42703.9,0.2680,
42704.2,0.2813,
42796.1,0.3066,
42999.8,0.3436,
43103.9,0.3458,
43104.2,0.3437,
43201.3,0.3454,
43306.3,0.3372,
43409.1,0.3349,
43511.6,0.3306,
43614.0,0.3283,
43748.5,0.3238,
43807.7,0.3200,
43920.7,0.3194,
44023.2,0.3212,
44125.6,0.3176,
44212.6,0.3193,
44332.5,0.3136,
44433.0,0.3121,
44535.7,0.3184,
44642.2,0.3125,
44657.8,,Idle done. Phase took 4705 ms
44660.3,,Publishing response. Total elapsed: 4705 ms
45338.0,,Service request: command=2
45338.3,,Gripper releasing...
45344.4,0.3196,
45446.5,0.3514,
45571.5,0.3524,
45648.4,0.3437,
45851.9,0.3171,
45852.2,0.3149,
45951.7,0.3121,
46058.3,0.3194,
46156.6,0.3202,
46276.3,0.3201,
46356.2,0.3254,
46456.3,0.3270,
46559.0,0.3360,
46660.4,0.3399,
46759.7,0.3394,
46897.2,0.3418,
46961.8,0.3466,
47064.3,0.3491,
47188.5,0.3299,
47265.2,0.2966,
47394.0,0.2704,
47467.9,0.2702,
47569.5,0.2700,
47670.0,0.2670,
47771.8,0.2695,
47958.0,0.2737,
47974.1,0.2705,
48076.5,0.2723,
48177.4,0.2703,
48278.4,0.2731,
48421.8,0.2717,
48525.0,0.2723,
48581.1,0.2720,
48683.4,0.2728,
48786.2,0.2737,
48886.6,0.2765,
48993.4,0.2746,
49087.9,0.2715,
49189.2,0.2762,
49291.6,0.2719,
49391.5,0.2713,
49492.5,0.3014,
49594.0,0.3342,
49695.8,0.3594,
49796.4,0.3461,
49898.5,0.3461,
50049.4,0.3470,
50100.2,0.3461,
50202.5,0.3424,
50304.0,0.3300,
50404.2,0.3302,
50505.7,0.3290,
50607.2,0.3263,
50708.6,0.3237,
50810.0,0.3224,
50910.9,0.3217,
51093.6,0.3190,
51114.2,0.3207,
51214.9,0.3066,
51316.4,0.3171,
51404.2,,Home done. Phase took 6058 ms
51404.6,,Publishing response. Total elapsed: 6059 ms
52143.5,,Service request: command=3
52145.8,,Gripper moving to idle position...
52154.6,0.2975,
52255.6,0.3369,
52356.8,0.3451,
52457.8,0.3296,
52559.2,0.3181,
52660.4,0.3172,
52761.5,0.3227,
52862.4,0.3182,
52962.9,0.3214,
53064.5,0.3271,
53190.5,0.3296,
53266.8,0.3378,
53368.8,0.3434,
53469.3,0.3473,
53571.2,0.3477,
53672.4,0.3454,
53773.0,0.3509,
53876.0,0.3564,
53976.2,0.3370,
54077.2,0.2993,
54239.0,0.2723,
54279.2,0.2743,
54380.4,0.2769,
54486.1,0.2765,
54586.9,0.2723,
54684.2,0.2738,
54793.2,0.2744,
54885.9,0.2732,
55001.8,0.2814,
55101.3,0.2712,
55191.1,0.2691,
55291.4,0.2723,
55409.5,0.2702,
55513.1,0.2725,
55615.4,0.2710,
55717.8,0.2690,
55821.1,0.2708,
55922.9,0.2720,
56000.1,0.2702,
56129.2,0.2734,
56337.0,0.2714,
56337.3,0.2997,
56437.1,0.3341,
56540.3,0.3549,
56643.4,0.3470,
56745.9,0.3459,
56816.4,0.3367,
56951.2,0.3360,
57043.2,0.3311,
57119.1,0.3266,
57385.2,0.3334,
57385.6,0.3251,
57423.4,0.3272,
57568.6,0.3214,
57670.2,0.3175,
57773.0,0.3216,
57848.9,0.3149,
57983.9,0.3158,
58035.0,0.3184,
58133.3,0.3315,
58207.1,,Idle done. Phase took 6064 ms
58208.2,,Publishing response. Total elapsed: 6064 ms
61168.2,,Service request: command=1
61168.4,,Gripper latching...
61178.2,0.2634,
61280.3,0.3397,
61389.4,0.3481,
61578.8,0.3334,
61591.2,0.3131,
61701.3,0.3166,
61802.7,0.3151,
61905.5,0.3190,
62004.2,0.3214,
62106.4,0.3263,
62206.3,0.3289,
62315.8,0.3272,
62415.9,0.3342,
62517.6,0.3371,
62632.7,0.3413,
62719.8,0.3434,
62821.9,0.3452,
62923.0,0.3510,
63025.3,0.3216,
63130.2,0.2905,
63225.1,0.2734,
63327.1,0.2693,
63430.1,0.2707,
63530.4,0.2716,
63675.0,0.2719,
63732.8,0.2675,
63833.8,0.2706,
63934.9,0.2741,
64042.1,0.2749,
64137.0,0.2705,
64247.4,0.2690,
64338.5,0.2750,
64452.9,0.2721,
64555.0,0.2729,
64724.4,0.2793,
64743.7,0.3009,
64864.2,0.3333,
64892.8,,Contact in latch zone at pos 26703 — latched
64902.0,,Latched
64903.7,,Latched! Phase took 3734 ms
64903.7,,Publishing response. Total elapsed: 3735 ms
65586.9,,Service request: command=3
65588.7,,Gripper moving to idle position...
65597.5,0.5441,
65772.9,0.3337,
65801.7,0.3517,
65902.6,0.3456,
66003.3,0.3343,
66105.1,0.3286,
66205.5,0.3247,
66305.9,0.3265,
66407.1,0.3274,
66508.8,0.3264,
66610.5,0.3322,
66713.9,0.3307,
66821.0,0.3358,
66919.2,0.3381,
67017.0,0.3406,
67118.6,0.3433,
67227.5,0.3458,
67321.0,0.3512,
67421.1,0.3299,
67522.1,0.2966,
67637.9,0.2745,
67725.2,0.2702,
67869.4,0.2715,
67926.9,0.2718,
68049.1,0.2717,
68129.9,0.2731,
68230.4,0.2706,
68357.5,0.2799,
68432.4,0.3087,
68563.9,0.3466,
68666.1,0.3461,
68768.5,0.3479,
68919.2,0.3450,
68938.3,0.3399,
69077.3,0.3371,
69180.0,0.3295,
69282.1,0.3341,
69385.5,0.3279,
69443.3,0.3264,
69591.2,0.3255,
69693.9,0.3210,
69747.5,0.3233,
69968.5,0.3199,
69969.2,0.3131,
70050.6,0.3169,
