elapsed_ms,current_A,event
7515.8,,Service request: command=3
7516.5,,Gripper moving to idle position...
7524.6,0.1760,
7628.1,0.4273,
7729.1,0.4345,
7830.1,0.3645,
8006.1,0.3331,
8031.7,0.3381,
8133.6,0.3409,
8234.9,0.3432,
8335.8,0.3538,
8437.0,0.3593,
8556.9,0.3747,
8638.1,0.3463,
8741.0,0.2893,
8842.8,0.2440,
8942.7,0.2129,
9053.3,0.1814,
9144.2,0.1581,
9245.9,0.1461,
9356.1,0.1297,
9447.8,0.1148,
9548.3,0.1121,
9660.2,0.1027,
9751.3,0.1074,
9854.6,0.1150,
9966.8,0.1010,
10104.5,0.1112,
10155.2,0.1185,
10265.8,0.1305,
10368.3,0.1473,
10472.3,0.1614,
10559.4,0.1819,
10677.1,0.2163,
10787.7,0.2553,
10862.6,0.3007,
10985.2,0.3669,
11161.1,0.3600,
11167.1,0.3541,
11293.3,0.3469,
11399.7,0.3418,
11499.1,0.3442,
11602.3,0.3393,
11704.0,0.3340,
11780.3,0.3324,
11883.5,0.3647,
11983.6,0.3966,
12034.6,,Idle done. Phase took 4516 ms
12034.7,,Publishing response. Total elapsed: 4516 ms
16637.6,,Service request: command=1
16638.0,,Gripper latching...
16638.0,0.4058,
16740.0,0.4242,
16842.7,0.4228,
16946.1,0.3708,
17049.0,0.3334,
17151.2,0.3336,
17253.9,0.3341,
17446.1,0.3370,
17446.4,0.3471,
17527.4,0.3558,
17664.9,0.3593,
17767.7,0.3488,
17870.6,0.2899,
17932.6,0.2403,
18075.2,0.2046,
18178.6,0.1754,
18282.0,0.1550,
18384.5,0.1405,
18488.9,0.1239,
18554.1,0.1115,
18692.8,0.1020,
18795.6,0.0989,
18897.9,0.1075,
18959.4,0.1010,
19103.2,0.0994,
19206.8,0.1202,
19309.6,0.1882,
19319.8,,Contact in latch zone at pos 26805 — latched
19329.1,,Latched
19329.9,,Latched! Phase took 2722 ms
19331.2,,Publishing response. Total elapsed: 2723 ms
22406.9,,Service request: command=3
22407.1,,Gripper moving to idle position...
22495.8,0.5096,
22684.3,0.3802,
22684.6,0.3707,
22720.8,0.3410,
22821.9,0.3424,
22922.9,0.3375,
23024.6,0.3417,
23126.6,0.3458,
23227.6,0.3496,
23328.0,0.3531,
23430.0,0.3594,
23531.0,0.3427,
23632.8,0.2908,
23733.0,0.2463,
23833.8,0.2086,
23934.4,0.1783,
24036.9,0.1580,
24136.6,0.1353,
24237.4,0.1247,
24344.8,0.1309,
24440.0,0.1476,
24550.1,0.1700,
24653.7,0.1922,
24815.4,0.2253,
24844.1,0.2706,
24962.6,0.3175,
25064.6,0.3659,
25167.2,0.3565,
25248.6,0.3540,
25372.0,0.3478,
25450.4,0.3410,
25578.9,0.3402,
25680.9,0.3383,
25827.9,0.3337,
25855.7,0.3331,
25989.2,0.3251,
26093.2,0.3425,
26094.0,,Idle done. Phase took 3682 ms
26094.0,,Publishing response. Total elapsed: 3682 ms
31181.9,,Service request: command=2
31183.4,,Gripper releasing...
31192.3,0.3143,
31296.0,0.3696,
31397.6,0.3642,
31498.8,0.3331,
31667.2,0.3315,
31699.3,0.3335,
31801.2,0.3400,
31901.9,0.3450,
32002.9,0.3541,
32120.8,0.3603,
32204.3,0.3634,
32305.8,0.3418,
32407.9,0.2941,
32510.1,0.2439,
32611.0,0.2059,
32711.3,0.1816,
32875.9,0.1609,
32978.7,0.1423,
33016.4,0.1236,
33168.5,0.1183,
33218.7,0.1078,
33319.0,0.1023,
33419.1,0.1123,
33520.4,0.1056,
33628.0,0.1084,
33724.0,0.1140,
33837.0,0.1189,
33928.4,0.1388,
34026.5,0.1502,
34221.6,0.1623,
34227.8,0.1934,
34328.5,0.2221,
34439.7,0.2572,
34530.5,0.3102,
34633.0,0.3617,
34757.8,0.3726,
34836.1,0.3624,
34952.2,0.3489,
35036.8,0.3491,
35141.3,0.3501,
35266.2,0.3502,
35345.7,0.3442,
35450.4,0.3386,
35552.0,0.3345,
35653.0,0.3392,
35703.7,,Home done. Phase took 4521 ms
35705.4,,Publishing response. Total elapsed: 4521 ms
42741.6,,Service request: command=3
42742.3,,Gripper moving to idle position...
42752.7,0.3332,
42854.1,0.3568,
42955.6,0.3579,
43056.4,0.3327,
43158.0,0.3355,
43258.2,0.3427,
43359.9,0.3433,
43462.0,0.3472,
43666.3,0.3546,
43666.8,0.3649,
43768.6,0.3740,
43872.0,0.3505,
43966.9,0.2943,
44106.3,0.2496,
44169.1,0.2161,
44282.1,0.1845,
44386.0,0.1594,
44487.8,0.1487,
44592.3,0.1307,
44702.2,0.1176,
44796.1,0.1087,
44890.2,0.1054,
45002.4,0.1089,
45080.1,0.1139,
45179.9,0.1075,
45308.9,0.1094,
45413.3,0.1221,
45516.4,0.1298,
45618.7,0.1518,
45751.2,0.1662,
45824.3,0.1845,
45926.9,0.2166,
46030.1,0.2595,
46088.9,0.3010,
46236.4,0.3570,
46290.9,0.3632,
46441.2,0.3553,
46544.2,0.3478,
46646.6,0.3451,
46792.0,0.3427,
46797.0,0.3385,
46955.2,0.3339,
47058.0,0.3347,
47102.0,0.3338,
47201.0,0.3285,
47267.7,,Idle done. Phase took 4526 ms
47271.5,,Publishing response. Total elapsed: 4526 ms
50862.3,,Service request: command=1
50862.6,,Gripper latching...
50862.6,0.2773,
50995.8,0.3590,
51042.9,0.3665,
51169.3,0.3385,
51272.1,0.3317,
51374.8,0.3359,
51477.3,0.3406,
51579.9,0.3437,
51650.6,0.3518,
51785.8,0.3586,
51888.2,0.3616,
52061.6,0.3416,
52062.5,0.2909,
52164.3,0.2412,
52299.4,0.2033,
52401.2,0.1817,
52505.1,0.1559,
52608.1,0.1387,
52710.2,0.1244,
52803.8,0.1122,
52916.6,0.1057,
53092.0,0.1038,
53092.2,0.1010,
53174.6,0.1053,
53328.1,0.1004,
53377.1,0.1209,
53533.2,0.1873,
53545.5,,Contact in latch zone at pos 26800 — latched
53554.5,,Latched
53555.5,,Latched! Phase took 2724 ms
53557.2,,Publishing response. Total elapsed: 2725 ms
56038.9,,Service request: command=3
56039.1,,Gripper moving to idle position...
56050.7,0.7572,
56237.4,0.3988,
56252.7,0.3922,
56352.7,0.3464,
56513.6,0.3420,
56616.9,0.3458,
56718.6,0.3424,
56850.3,0.3419,
56924.7,0.3500,
57026.9,0.3550,
57159.0,0.3622,
57162.4,0.3461,
57314.1,0.2926,
57365.0,0.2466,
57567.5,0.2077,
57643.9,0.1786,
57746.7,0.1598,
57768.4,0.1390,
57977.6,0.1240,
57977.8,0.1403,
58157.7,0.1486,
58172.9,0.1701,
58335.7,0.1939,
58375.4,0.2286,
58502.4,0.2710,
58592.0,0.3219,
58696.1,0.3659,
58779.2,0.3614,
58903.9,0.3534,
59009.6,0.3542,
59102.5,0.3455,
59185.9,0.3389,
59290.7,0.3415,
59386.0,0.3378,
59525.3,0.3343,
59623.3,0.3313,
59688.7,0.3608,
59720.9,,Idle done. Phase took 3661 ms
59721.2,,Publishing response. Total elapsed: 3661 ms
63209.0,,Service request: command=2
63209.4,,Gripper releasing...
63209.4,0.3610,
63307.9,0.3892,
63409.2,0.3816,
63581.5,0.3426,
63626.9,0.3354,
63728.4,0.3349,
63815.0,0.3364,
63917.0,0.3424,
64033.2,0.3547,
64119.7,0.3709,
64222.0,0.3616,
64326.4,0.3456,
64434.9,0.2922,
64531.0,0.2471,
64632.8,0.2058,
64755.1,0.1835,
64826.0,0.1631,
64958.4,0.1531,
65050.9,0.1244,
65156.8,0.1168,
65248.7,0.1078,
65352.2,0.1034,
65455.0,0.1110,
65557.4,0.1087,
65765.6,0.1179,
65837.0,0.1222,
65937.8,0.1400,
66071.4,0.1488,
66175.0,0.1605,
66276.2,0.1931,
66342.1,0.2228,
66443.3,0.2573,
66545.5,0.3087,
66722.4,0.3693,
66747.3,0.3743,
66849.3,0.3643,
66949.7,0.3577,
67051.3,0.3509,
67152.5,0.3481,
67304.3,0.3471,
67355.4,0.3474,
67454.7,0.3425,
67555.8,0.3315,
67657.1,0.3589,
67818.6,,Publishing response. Total elapsed: 4528 ms
72633.2,,Service request: command=3
72633.7,,Gripper moving to idle position...
72642.2,0.3111,
72752.6,0.3731,
72845.0,0.3757,
73012.6,0.3411,
73047.0,0.3382,
73150.1,0.3408,
73264.9,0.3443,
73367.9,0.3497,
73471.6,0.3567,
73573.5,0.3676,
73655.6,0.3740,
73778.6,0.3503,
73881.6,0.2920,
74199.0,0.2118,
74199.5,0.1840,
74292.8,0.1584,
74395.6,0.1474,
74498.3,0.1283,
74566.5,0.1168,
74704.2,0.1120,
74767.8,0.1074,
74909.4,0.1072,
75109.0,0.1125,
75109.2,0.1053,
75217.2,0.1124,
75320.4,0.1210,
75423.7,0.1300,
75495.4,0.1473,
75576.7,0.1642,
75677.7,0.1946,
75778.8,0.2165,
75938.2,0.2551,
76050.1,0.3043,
76345.2,0.3616,
76347.2,0.3552,
76450.8,0.3542,
76554.3,0.3468,
76596.2,0.3419,
76696.2,0.3421,
76798.7,0.3408,
76900.6,0.3354,
77067.6,0.3305,
77210.3,0.3474,
77210.8,,Idle done. Phase took 4519 ms
77210.9,,Publishing response. Total elapsed: 4519 ms
80375.5,,Service request: command=1
80375.7,,Gripper latching...
80383.3,0.3450,
80560.9,0.3780,
80586.8,0.3786,
80765.7,0.3378,
80791.7,0.3361,
80912.1,0.3413,
81074.0,0.3393,
81176.6,0.3434,
81192.0,0.3534,
81293.2,0.3565,
81399.7,0.3634,
81496.0,0.3472,
81597.2,0.2915,
81698.7,0.2451,
81799.2,0.2084,
81900.1,0.1796,
82008.6,0.1562,
82110.1,0.1351,
82210.9,0.1257,
82312.0,0.1122,
82449.7,0.1037,
82514.3,0.1044,
82615.9,0.1014,
82722.8,0.1043,
82823.2,0.0989,
82926.1,0.1154,
83027.7,0.1839,
83132.5,,Contact in latch zone at pos 26807 — latched
83132.9,,Latched
83132.9,,Latched! Phase took 2723 ms
83133.0,,Publishing response. Total elapsed: 2724 ms
88167.5,,Service request: command=3
88167.6,,Gripper moving to idle position...
88169.2,0.6080,
88271.4,0.3741,
88388.8,0.3682,
88502.2,0.3505,
88593.7,0.3464,
88740.7,0.3421,
88803.6,0.3450,
88901.7,0.3447,
88978.1,0.3529,
89092.0,0.3579,
89180.2,0.3609,
89297.0,0.3457,
89382.0,0.2975,
89483.7,0.2440,
89584.4,0.2076,
89685.3,0.1788,
89788.6,0.1588,
89886.8,0.1412,
89988.6,0.1265,
90089.9,0.1322,
90223.6,0.1463,
90290.6,0.1675,
90427.7,0.1941,
90493.8,0.2279,
90596.7,0.2705,
90697.8,0.3201,
90838.4,0.3659,
90897.8,0.3586,
90999.3,0.3524,
91102.0,0.3529,
91201.2,0.3436,
91302.8,0.3446,
91455.1,0.3403,
91504.9,0.3387,
91606.9,0.3355,
91707.3,0.3304,
91887.1,0.3376,
91887.5,,Idle done. Phase took 3680 ms
91887.6,,Publishing response. Total elapsed: 3680 ms
103995.7,,Service request: command=2
103995.9,,Gripper releasing...
103995.9,0.3241,
104097.2,0.3666,
104200.0,0.3637,
104302.6,0.3326,
104468.4,0.3307,
104491.8,0.3355,
104610.9,0.3405,
104713.7,0.3457,
104794.5,0.3528,
