elapsed_ms,current_A,event
9618.8,,Service request: command=3
9619.3,,Gripper moving to idle position...
9619.4,0.0998,
9719.6,0.2369,
9799.1,0.3073,
9923.5,0.3009,
10001.2,0.3090,
10102.3,0.3156,
10233.2,0.3135,
10367.1,0.3161,
10407.3,0.3146,
10508.6,0.3207,
10643.6,0.3259,
10710.4,0.3317,
10849.5,0.3295,
10913.1,0.3312,
11014.9,0.3314,
11157.9,0.3399,
11216.4,0.3465,
11416.3,0.3468,
11417.9,0.3208,
11519.7,0.2931,
11622.0,0.2672,
11774.5,0.2687,
11823.5,0.2626,
11979.5,0.2630,
12024.6,0.2655,
12185.7,0.2658,
12287.8,0.2608,
12465.6,0.2656,
12465.9,0.2637,
12537.7,0.2664,
12699.0,0.2607,
12740.6,0.2649,
12904.6,0.2624,
12943.0,0.2621,
13044.0,0.2635,
13213.1,0.2612,
13315.4,0.2613,
13418.5,0.2625,
13521.5,0.2621,
13550.4,0.2630,
13726.8,0.2631,
13829.1,0.2998,
13931.9,0.3307,
13961.6,0.3473,
14137.0,0.3446,
14165.7,0.3405,
14343.8,0.3379,
14561.6,0.3378,
14561.9,0.3306,
14569.2,0.3257,
14669.8,0.3294,
14880.6,0.3256,
14983.9,0.3236,
14984.1,0.3156,
15164.9,0.3176,
15268.5,0.3175,
15285.1,0.3112,
15394.6,0.3115,
15498.0,0.3247,
15609.2,0.3150,
15684.5,,Idle done. Phase took 6060 ms
15684.7,,Publishing response. Total elapsed: 6061 ms
16766.4,,Service request: command=1
16766.8,,Gripper latching...
16776.9,0.2799,
16880.6,0.2520,
16981.4,0.3081,
17090.7,0.3087,
17188.9,0.3087,
17278.0,,Contact in latch zone at pos 16280 — latched
17281.8,,Latched
17282.5,,Latched! Phase took 516 ms
17283.4,,Publishing response. Total elapsed: 517 ms
18874.7,,Service request: command=3
18875.2,,Gripper moving to idle position...
18879.4,0.3576,
18981.5,0.3425,
19082.0,0.3244,
19191.7,0.3049,
19295.1,0.3164,
19398.1,0.3204,
19609.6,0.3295,
19609.8,,Idle done. Phase took 696 ms
19610.0,,Publishing response. Total elapsed: 697 ms
20295.7,,Service request: command=2
20296.1,,Gripper releasing...
20306.5,0.3262,
20424.6,0.3330,
20512.8,0.3180,
20632.5,0.3073,
20742.5,0.3094,
20854.2,0.3106,
20914.9,0.3152,
21034.6,0.3150,
21129.0,0.3155,
21231.0,0.3234,
21327.6,0.3193,
21434.1,0.3229,
21537.6,0.3285,
21646.5,0.3291,
21759.6,0.3335,
21903.2,0.3395,
21941.9,0.3420,
22051.1,0.3423,
22153.5,0.3376,
22256.7,0.2874,
22346.2,0.2668,
22462.2,0.2629,
22565.4,0.2664,
22667.2,0.2673,
22770.5,0.2631,
22853.6,0.2635,
22953.3,0.2659,
23078.9,0.2659,
23180.8,0.2684,
23283.6,0.2858,
23387.1,0.2712,
23489.9,0.2650,
23591.6,0.2664,
23695.5,0.2643,
23797.1,0.2682,
23874.5,0.2727,
23999.3,0.2674,
24073.1,0.2681,
24173.9,0.2664,
24276.3,0.2720,
24377.8,0.2750,
24478.6,0.3029,
24579.8,0.3363,
24680.1,0.3575,
24782.7,0.3576,
24883.2,0.3489,
25047.8,0.3500,
25085.1,0.3424,
25195.4,0.3378,
25295.3,0.3408,
25396.4,0.3368,
25545.3,0.3329,
25599.2,0.3275,
25708.0,0.3248,
25811.6,0.3199,
25956.7,0.3235,
26096.8,0.3238,
26121.1,0.3313,
26223.6,0.3246,
26322.8,0.3428,
26355.0,,Home done. Phase took 6057 ms
26355.1,,Publishing response. Total elapsed: 6058 ms
